# CJK Vocabulary Breakdown
# Total: 1565 tokens
# Generated from IDS decomposition database

## shared_base (4 tokens) — ASCII printable
0020	' '
FF1E	＞
FF1F	？
FF20	＠
FF21	Ａ
FF22	Ｂ
FF24	Ｄ
FF25	Ｅ
FF28	Ｈ
FF29	Ｉ
FF2A	Ｊ
FF2B	Ｋ
FF2C	Ｌ
FF2D	Ｍ
FF2E	Ｎ
FF2F	Ｏ
FF30	Ｐ
FF32	Ｒ
FF33	Ｓ
FF34	Ｔ
FF37	Ｗ
FF38	Ｘ
FF3B	［
FF3D	］
FF41	ａ
FF43	ｃ
FF45	ｅ
FF47	ｇ
FF48	ｈ
FF49	ｉ
FF4C	ｌ
FF4E	ｎ
FF4F	ｏ
FF52	ｒ
FF56	ｖ
FF59	ｙ
FF5C	｜
FF5D	｝
FF5E	～
FF64	､

## atoms_with_unicode (859 tokens) — Atomic CJK components
2E83	⺃
2E84	⺄
2E87	⺇
2E88	⺈
2E8A	⺊
2E8C	⺌
2E97	⺗
2E9C	⺜
2EA2	⺢
2EA3	⺣
2EA7	⺧
2EAA	⺪
2EAB	⺫
2EB3	⺳
2EB6	⺶
2EBC	⺼
2EC0	⻀
2EC3	⻃
2ECC	⻌
2ECF	⻏
2ED6	⻖
2EDE	⻞
2EE4	⻤
31C7	㇇
3401	㐁
3404	㐄
3405	㐅
3406	㐆
340C	㐌
342B	㐫
342C	㐬
342D	㐭
342E	㐮
3431	㐱
3452	㑒
34B8	㒸
34BC	㒼
34DE	㓞
34E3	㓣
34E9	㓩
353B	㔻
353E	㔾
354D	㕍
3551	㕑
3553	㕓
3561	㕡
3563	㕣
35BE	㖾
35CA	㗊
3685	㚅
3687	㚇
3692	㚒
3698	㚘
36A3	㚣
3741	㝁
3749	㝉
3774	㝴
3775	㝵
3791	㞑
37A2	㞢
37B7	㞷
3829	㠩
382F	㠯
3840	㡀
386D	㡭
386F	㡯
387F	㡿
3886	㢆
38CE	㣎
3932	㤲
3951	㥑
396F	㥯
39AE	㦮
39B0	㦰
39BF	㦿
39DC	㧜
3A28	㨨
3AD7	㫗
3B05	㬅
3B0E	㬎
3B30	㬰
3B31	㬱
3C8B	㲋
3C8E	㲎
3CBD	㲽
3CC4	㳄
3CDF	㳟
3DA3	㶣
3E1A	㸚
3E5C	㹜
3F0C	㼌
3F6C	㽬
3FFD	㿽
4020	䀠
4165	䅥
41E0	䇠
4286	䊆
431B	䌛
4343	䍃
43CC	䏌
43CD	䏍
4491	䒑
4592	䖒
459D	䖝
45B5	䖵
4619	䘙
4673	䙳
4674	䙴
46AF	䚯
470C	䜌
4771	䝱
485B	䡛
499A	䦚
49D8	䧘
49F9	䧹
4A57	䩗
4A6D	䩭
4A7B	䩻
4B15	䬕
4CE1	䳡
4E00	一
4E01	丁
4E02	丂
4E03	七
4E04	丄
4E05	丅
4E07	万
4E08	丈
4E09	三
4E0A	上
4E0B	下
4E0C	丌
4E0D	不
4E0F	丏
4E10	丐
4E11	丑
4E13	专
4E14	且
4E16	世
4E17	丗
4E18	丘
4E1A	业
4E1C	东
4E21	両
4E23	丣
4E24	两
4E25	严
4E28	丨
4E29	丩
4E2B	丫
4E2C	丬
4E2D	中
4E2F	丯
4E30	丰
4E31	丱
4E32	串
4E33	丳
4E36	丶
4E38	丸
4E39	丹
4E3A	为
4E3F	丿
4E40	乀
4E41	乁
4E42	乂
4E43	乃
4E44	乄
4E45	久
4E46	乆
4E49	义
4E4B	之
4E4D	乍
4E4E	乎
4E50	乐
4E51	乑
4E57	乗
4E58	乘
4E59	乙
4E5A	乚
4E5B	乛
4E5C	乜
4E5D	九
4E5F	也
4E60	习
4E61	乡
4E66	书
4E85	亅
4E86	了
4E88	予
4E8A	亊
4E8B	事
4E8C	二
4E8E	于
4E92	互
4E94	五
4E95	井
4E9A	亚
4E9C	亜
4E9E	亞
4E9F	亟
4EA0	亠
4EA1	亡
4EBA	人
4EBB	亻
4F86	來
513F	儿
5140	兀
5142	兂
5146	兆
5165	入
5167	內
516B	八
5182	冂
5184	冄
5185	内
5186	円
5189	冉
518A	冊
518C	册
518E	冎
5196	冖
5198	冘
51AB	冫
51E0	几
51F5	凵
51F8	凸
51F9	凹
5200	刀
5202	刂
5204	刄
529B	力
529E	办
52F9	勹
5315	匕
531A	匚
5338	匸
5341	十
5343	千
5344	卄
5345	卅
534A	半
534C	卌
534D	卍
5350	卐
535C	卜
535D	卝
5369	卩
5382	厂
53B6	厶
53C8	又
53CA	及
53E3	口
53F2	史
540F	吏
5669	噩
56D7	囗
56DB	四
571F	土
5782	垂
57C0	埀
58EB	士
5902	夂
590A	夊
5915	夕
5927	大
5928	夨
592B	夫
592C	夬
592E	央
5934	头
5937	夷
5939	夹
593E	夾
596D	奭
5973	女
5B50	子
5B51	孑
5B52	孒
5B53	孓
5B80	宀
5BF8	寸
5C0F	小
5C22	尢
5C24	尤
5C38	尸
5C39	尹
5C3A	尺
5C6E	屮
5C6F	屯
5C71	山
5DDD	川
5DDE	州
5DE5	工
5DE8	巨
5DF1	己
5DF2	已
5DF3	巳
5DF4	巴
5DFE	巾
5DFF	巿
5E07	帇
5E72	干
5E73	平
5E74	年
5E7A	幺
5E7F	广
5EF4	廴
5EFE	廾
5EFF	廿
5F0B	弋
5F13	弓
5F14	弔
5F17	弗
5F50	彐
5F51	彑
5F61	彡
5F73	彳
5FC3	心
5FC4	忄
5FC5	必
6208	戈
6209	戉
620A	戊
620B	戋
6211	我
6236	戶
6237	户
6238	戸
624B	手
624C	扌
624D	才
627F	承
6534	攴
6535	攵
6587	文
6597	斗
65A4	斤
65A5	斥
65B9	方
65E0	无
65E1	旡
65E5	日
66F0	曰
66F1	曱
66F2	曲
66F3	曳
66F4	更
6708	月
6728	木
6729	朩
672A	未
672B	末
672C	本
673F	朿
675F	束
6765	来
6771	東
679C	果
67EC	柬
6B20	欠
6B62	止
6B79	歹
6B7A	歺
6BCB	毋
6BCC	毌
6BCD	母
6BD4	比
6BDB	毛
6C0F	氏
6C11	民
6C34	水
6C35	氵
6C36	氶
6C38	永
6C3A	氺
6C42	求
706B	火
706C	灬
70BA	為
718F	熏
722A	爪
722B	爫
7232	爲
7236	父
723B	爻
723F	爿
7247	片
7259	牙
725B	牛
725C	牜
72AC	犬
72AD	犭
72AE	犮
7384	玄
7387	率
7389	玉
738B	王
74DC	瓜
74E6	瓦
7518	甘
751F	生
7528	用
752B	甫
7530	田
7531	由
7532	甲
7533	申
7534	甴
7535	电
7536	甶
7562	畢
758B	疋
758C	疌
7592	疒
7676	癶
767D	白
76AE	皮
76BF	皿
76EE	目
77DB	矛
77E2	矢
77F3	石
793A	示
793B	礻
79B8	禸
79B9	禹
79BE	禾
79C9	秉
7ACB	立
7AF9	竹
7C73	米
7C9B	粛
7CF8	糸
7CF9	糹
7E9F	纟
7F36	缶
7F51	网
7F52	罒
7F8A	羊
7FBD	羽
8002	耂
800C	而
8012	耒
8033	耳
807F	聿
8080	肀
8089	肉
81E3	臣
81EA	自
81FC	臼
81FF	臿
820C	舌
821F	舟
826E	艮
8272	色
8278	艸
8279	艹
864D	虍
866B	虫
8863	衣
8864	衤
897E	襾
897F	西
8980	覀
898B	見
89C1	见
89D2	角
8A00	言
8A01	訁
8B71	譱
8BA0	讠
8C37	谷
8C55	豕
8C78	豸
8C9D	貝
8D1D	贝
8D64	赤
8EAB	身
8ECA	車
8F66	车
8F9B	辛
8FB0	辰
8FB5	辵
8FB6	辶
9091	邑
9149	酉
91C6	釆
91CD	重
91D1	金
91D2	釒
9485	钅
9577	長
9578	镸
957F	长
9580	門
95E8	门
961C	阜
961D	阝
96B6	隶
96B9	隹
96BA	隺
96E8	雨
9751	靑
9752	青
975E	非
9762	面
9763	靣
9769	革
97E6	韦
97ED	韭
97F3	音
9801	頁
9875	页
98A8	風
98CE	风
98DB	飛
98DE	飞
9963	饣
9996	首
99AC	馬
9A6C	马
9AD9	髙
9B32	鬲
9B3C	鬼
9B5A	魚
9C7C	鱼
9E7F	鹿
9EC3	黃
9EC4	黄
9ED1	黑
9EF9	黹
9EFD	黽
9F20	鼠
9F50	齐
9F8D	龍
9F99	龙
9F9C	龜
9F9F	龟
9FA0	龠
9FB0	龰
9FB4	龴
9FB5	龵
9FB6	龶
9FB9	龹
FA5B	者
20001	𠀁
2000E	𠀎
20010	𠀐
20041	𠁁
20063	𠁣
20073	𠁳
20086	𠂆
20087	𠂇
20089	𠂉
2008B	𠂋
20091	𠂑
20094	𠂔
200A1	𠂡
200A2	𠂢
200A4	𠂤
200AD	𠂭
200CA	𠃊
200CC	𠃌
200D3	𠃓
200DC	𠃜
20120	𠄠
20143	𠅃
201A2	𠆢
201CD	𠇍
20335	𠌵
20477	𠑷
2047D	𠑽
20482	𠒂
2053C	𠔼
2053E	𠔾
2053F	𠔿
20541	𠕁
2054B	𠕋
20587	𠖇
205E6	𠗦
20627	𠘧
2068D	𠚍
20695	𠚕
206A3	𠚣
206AA	𠚪
20835	𠠵
2090E	𠤎
2090F	𠤏
20915	𠤕
20982	𠦂
20984	𠦄
2098F	𠦏
2099D	𠦝
209D7	𠧗
20A75	𠩵
20A7A	𠩺
20AD3	𠫓
20AD4	𠫔
20AE4	𠫤
20AEF	𠫯
20B1D	𠬝
20B22	𠬢
20B24	𠬤
20B36	𠬶
20B9B	𠮛
20BA0	𠮠
20BA6	𠮦
20BD1	𠯑
20BDA	𠯚
20BF3	𠯳
20C60	𠱠
20CCB	𠳋
20CEE	𠳮
20F82	𠾂
2123C	𡈼
21240	𡉀
2127C	𡉼
21325	𡌥
21556	𡕖
21569	𡕩
21570	𡕰
215D7	𡗗
215DC	𡗜
215DE	𡗞
21657	𡙗
21687	𡚇
21949	𡥉
21A04	𡨄
21A25	𡨥
21A5C	𡩜
21A60	𡩠
21A93	𡪓
21B20	𡬠
21B74	𡭴
21BC4	𡯄
21C2A	𡰪
21C2F	𡰯
21C52	𡱒
21C5D	𡱝
21D49	𡵉
21FE7	𡿧
21FE8	𡿨
21FEA	𡿪
21FFA	𡿺
22016	𢀖
22021	𢀡
22189	𢆉
2218D	𢆍
221B6	𢆶
221C1	𢇁
221C2	𢇂
221C7	𢇇
221CD	𢇍
22333	𢌳
22380	𢎀
223A5	𢎥
223A8	𢎨
223DD	𢏝
22446	𢑆
226F3	𢛳
2298F	𢦏
229DC	𢧜
229F5	𢧵
22A92	𢪒
22F04	𢼄
22F38	𢼸
22F5F	𢽟
22F60	𢽠
22FD0	𢿐
23103	𣄃
23140	𣅀
23173	𣅳
23205	𣈅
23386	𣎆
233B3	𣎳
233BD	𣎽
233C2	𣏂
233DF	𣏟
2341D	𣐝
2389F	𣢟
23942	𣥂
23956	𣥖
239BC	𣦼
239C4	𣧄
23A8A	𣪊
23A98	𣪘
23AA0	𣪠
23ADE	𣫞
23B09	𣬉
23C75	𣱵
23D0E	𣴎
23D92	𣶒
23E70	𣹰
23FD5	𣿕
241FE	𤇾
242F1	𤋱
2437E	𤍾
243AD	𤎭
2450C	𤔌
24514	𤔔
2457B	𤕻
248E9	𤣩
24BBA	𤮺
24C07	𤰇
24C08	𤰈
24C14	𤰔
24CB6	𤲶
24CF3	𤳳
24D13	𤴓
24D21	𤴡
24FA1	𤾡
24FFA	𤿺
25051	𥁑
25053	𥁓
25055	𥁕
250ED	𥃭
250F2	𥃲
25109	𥄉
2510E	𥄎
2545F	𥑟
25762	𥝢
25AB4	𥪴
25E2D	𥸭
25E44	𥹄
26222	𦈢
26270	𦉰
26276	𦉶
262F9	𦋹
2634B	𦍋
2634C	𦍌
26352	𦍒
26407	𦐇
264D4	𦓔
2652E	𦔮
26629	𦘩
2668F	𦚏
268DD	𦣝
268DE	𦣞
268E0	𦣠
268FB	𦣻
26951	𦥑
26954	𦥔
2696F	𦥯
269DA	𦧚
26B07	𦬇
26B20	𦬠
26B5D	𦭝
26C29	𦰩
271A0	𧆠
271A8	𧆨
271C3	𧇃
27221	𧈡
27227	𧈧
27607	𧘇
278C8	𧣈
27C28	𧰨
27D2A	𧴪
27D32	𧴲
27FB7	𧾷
282A0	𨊠
282B4	𨊴
28675	𨙵
28805	𨠅
2882D	𨠭
2896B	𨥫
28CD0	𨳐
29401	𩐁
29810	𩠐
29850	𩡐
29C0A	𩰊
29C0B	𩰋
29C2C	𩰬
29C32	𩰲
29D4B	𩵋
2A78E	𪞎
2A7CA	𪟊
2A9C7	𪧇
2A9F7	𪧷
2AAB7	𪪷
2B0B1	𫂱
2B1E6	𫇦
2B52D	𫔭
2B534	𫔴
2B740	𫝀
2B823	𫠣
2B825	𫠥
2B851	𫡑
2B889	𫢉
2B94E	𫥎
2B95E	𫥞
2B9C7	𫧇
2BA4F	𫩏
2BA60	𫩠
2BCB8	𫲸
2BCBD	𫲽
2BD56	𫵖
2BDA7	𫶧
2BF09	𫼉
2C037	𬀷
2C41A	𬐚
2C5CC	𬗌
2C659	𬙙
2C72F	𬜯
2CD80	𬶀
2CEA2	𬺢
2CEDE	𬻞
2CF16	𬼖
2D0AB	𭂫
2D0E4	𭃤
2D448	𭑈
2D530	𭔰
2D544	𭕄
2D546	𭕆
2D80D	𭠍
2D90A	𭤊
2D928	𭤨
2D94D	𭥍
2DD18	𭴘
2DEFE	𭻾
2E0B1	𮂱
2E155	𮅕
2E93B	𮤻
2E976	𮥶
2E9EE	𮧮
2EC90	𮲐
2F811	具
2F817	冗
2F81E	刃
2F837	叟
2F878	屮
2F8CB	旣
2F940	直
2F959	穀
30001	𰀁
30002	𰀂
30009	𰀉
30021	𰀡
30022	𰀢
3005C	𰁜
300E6	𰃦
300EE	𰃮
3018A	𰆊
302F7	𰋷
3054E	𰕎
3065C	𰙜
308B5	𰢵
3094D	𰥍
30BA4	𰮤
31048	𱁈
312C1	𱋁
3140D	𱐍
3147A	𱑺
315AA	𱖪
3196F	𱥯
31B39	𱬹
31C2D	𱰭
324DC	𲓜
32C36	𲰶
32CCA	𲳊

## atoms_without_unicode (422 tokens) — IDS-decomposable but sub-components lack codepoints
4E0E	与	⿹&CDP-8BBF;一
4E1D	丝	⿱⿰&CDP-895C;&CDP-895C;一
4E27	丧	⿱&CDP-8A65;&CDP-8CC6;
4E4C	乌	⿹&CDP-89DE;一
4E54	乔	⿱夭&CDP-89AB;
4E55	乕	⿸𠂆&CDP-89ED;
4E56	乖	&U-i001+2FF1;千北
4E80	亀	⿱⺈&CDP-89BD;
4E87	亇	⿱&CDP-8DD8;亅
4E89	争	⿱⺈&CDP-8BFE;
4E99	亙	⿴二&CDP-8959;
4EA3	亣	⿱亠&CDP-89AB;
4EA5	亥	⿳亠&GT-00154;人
4EA6	亦	&U-i001+2FF1;亣八
4EA7	产	⿱&CDP-8BAE;厂
4EB7	亷	⿸产&CDP-8CDE;
4ECB	介	⿱𠆢&CDP-89AB;
4EE5	以	⿰&CDP-89EB;人
4F1E	伞	⿱𠆢&CDP-8A64;
4FAF	侯	⿰亻&CDP-8BC7;
4FE2	俢	⿰亻&CDP-8CDD;
5019	候	⿰亻⿰丨&CDP-8BC7;
507C	偼	⿰亻&GT-K06360;
5098	傘	⿱𠆢&CDP-88A6;
514D	免	⿱⺈&CDP-8BCB;
514E	兎	⿱丿⿷&CDP-89B9;丶
5160	兠	&U-i002+2FF1;北皃
5169	兩	⿱一&CDP-8C62;
516A	兪	⿹⿱亼巜&CDP-8958;
516D	六	⿱亠&GT-K00059;
5176	其	⿱&CDP-88C8;𬺢
5178	典	⿱&U-i001+20541;𬺢
517B	养	⿱⿱䒑夫&CDP-89AB;
517C	兼	⿱䒑&CDP-8CDE;
518F	冏	⿵&GT-36324;口
5190	冐	⿱⺜&CDP-8958;
519C	农	⿱&CDP-89E2;&CDP-8CC6;
51A6	冦	⿱冖&CDP-8DD7;
51EB	凫	⿹&CDP-8964;几
51FD	函	⿶凵&GT-K02033;
5201	刁	⿹𠃌&CDP-8DE4;
5236	制	⿰&CDP-89EC;刂
524D	前	⿸⿱䒑&CDP-8958;刂
52FF	勿	⿹勹&CDP-89A6;
5306	匆	⿹勹&CDP-89D5;
5317	北	⿰&CDP-8BC5;匕
5351	卑	⿱&CDP-89BE;十
5355	单	⿱丷&CDP-8BD9;
5357	南	⿱十&CDP-8BDC;
5358	単	⿱𭕄&CDP-8BD9;
5365	卥	⿱⺊⿴囗&CDP-89D5;
536C	卬	⿰&CDP-8CBD;卩
536F	卯	⿰&CDP-8D41;卩
5370	印	⿰&CDP-8CAC;卩
5373	即	⿰&CDP-8B7C;卩
539F	原	⿸厂&CDP-8BC4;
53AF	厯	⿸𠩵&CDP-8962;
53C1	叁	⿱&GT-K01085;三
53C2	参	⿱&GT-K01085;彡
53CF	叏	⿱&CDP-89B3;又
53D1	发	⿸⿺&CDP-89F6;丶又
53D7	受	⿱&CDP-8BB8;又
53DA	叚	⿰&CDP-8C7A;&CDP-8C79;
53EA	只	⿱口&GT-K00059;
53EF	可	⿹&CDP-8974;口
5449	呉	⿺口⿳&CDP-89F5;一&GT-K00059;
5510	唐	⿸广&CDP-8CC1;
5546	商	⿱&CDP-8BAE;冏
5547	啇	⿱&CDP-8BAE;𪞎
556C	啬	⿱&CDP-8A65;回
55AA	喪	⿱&CDP-88A5;&CDP-8CC6;
55AE	單	⿱吅&CDP-8BD9;
55C7	嗇	⿱&CDP-8D5B;回
55E3	嗣	⿰&CDP-8DBB;司
563C	嘼	⿱&CDP-8DAE;口
56A2	嚢	⿱⿱𰀉冖⿱⿱&GT-K00059;𠀎𧘇
56CA	囊	⿱⿱𰀉冖⿱&CDP-8CA3;𧘇
56D9	囙	⿴囗&CDP-8C78;
56DF	囟	⿴&CDP-8CC8;㐅
56E7	囧	⿴⿴囗&GT-K00059;&CDP-8BC0;
56EA	囪	⿴&CDP-8CC8;&CDP-89D5;
56EC	囬	⿴囗&CDP-89CC;
56F1	囱	⿴&CDP-8CC8;夂
56F3	図	⿴囗&GT-K00822;
5700	圀	⿴⿴囗&GT-K00059;方
5719	圙	⿴⿴囗&GT-K00059;面
5728	在	⿸&CDP-88F1;土
5750	坐	&U-i002+2FF1;从土
5807	堇	⿱廿&CDP-8A6D;
5836	堶	⿰土&CDP-8CA9;
5841	塁	⿱⿱田&CDP-89AE;土
58F7	壷	⿱士&CDP-8A49;
58FA	壺	⿱士&CDP-8DE8;
58FD	壽	⿳&CDP-8D53;一吋
5900	夀	⿱&CDP-8A4E;吋
5910	夐	⿱&CDP-8CAF;&CDP-88FD;
5912	夒	⿱&U-i001+2FFB;頁⿰止巳夂
5913	夓	⿱&U-i002+2FF1;𦥑頁夂
5914	夔	⿱&U-i001+2FFB;⿱首儿⿰止巳夂
591C	夜	⿸⿱亠亻&CDP-89F3;
5930	夰	⿱大&CDP-89AB;
5942	奂	⿱⺈⿻&CDP-8BC0;大
594D	奍	⿱龹&CDP-8BF5;
5950	奐	⿳⺈⿵&CDP-8BC0;&GT-K00059;大
5959	奙	⿱&GT-K01085;电
5965	奥	⿱&GT-K06261;大
5967	奧	⿱&CDP-8D7C;大
59BB	妻	⿱&CDP-89E5;女
5A41	婁	⿱&CDP-89C5;女
5A6C	婬	⿰女&CDP-8AC0;
5AA0	媠	⿰女&CDP-8CA9;
5AAB	媫	⿰女&GT-K06360;
5B0A	嬊	⿱⿱廿&CDP-8D76;女
5B58	存	⿸&CDP-88F1;子
5B9F	実	⿱宀&CDP-8BE9;
5BBB	宻	⿱⿱宀&CDP-85A7;山
5BC5	寅	⿱宀&CDP-8CE6;
5BFF	寿	⿸&CDP-897D;寸
5C07	將	⿰爿&GT-09333;
5C08	專	⿱&CDP-8BD0;寸
5C0B	尋	⿴寻&CDP-8CFA;
5C0D	對	⿰&CDP-8BBD;寸
5C14	尔	⿱&CDP-8DD8;小
5C19	尙	⿱&CDP-8665;冋
5C23	尣	⿱&GT-K00059;儿
5C26	尦	⿺&CDP-8DEF;勺
5C29	尩	⿺&CDP-8DEF;王
5C40	局	⿸尸&CDP-8C52;
5C55	展	⿸尸&CDP-8CE5;
5C9B	岛	⿹&CDP-8964;山
5CA1	岡	⿵冂&CDP-8CC7;
5CF6	島	⿹&CDP-8CBB;山
5D0B	崋	⿱山&CDP-8BF8;
5D57	嵗	⿱山&CDP-8CB3;
5DE4	巤	⿱⿱巛龱&CDP-8D46;
5DEA	巪	⿱巨&CDP-89C8;
5DEB	巫	&U-i001+2FFB;工从
5E05	帅	⿰&CDP-8968;巾
5E08	师	⿰&CDP-8968;帀
5E1D	帝	⿱&CDP-8BEC;巾
5E26	带	⿱⿱&CDP-89D7;冖巾
5E2D	席	⿸广&CDP-8D40;
5E30	帰	⿰&CDP-8968;帚
5E36	帶	⿱⿱&CDP-8C4B;冖巾
5E7E	幾	⿹&CDP-8BA4;人
5E9A	庚	⿸广&CDP-8DE2;
5EA6	度	⿸广&CDP-8C46;
5EB6	庶	⿸广&CDP-8D67;
5EC4	廄	⿸广⿰&CDP-8B7C;殳
5ECC	廌	⿸&CDP-8D56;&CDP-8DBF;
5EDB	廛	⿸广&CDP-8DC3;
5EF6	延	⿺廴&CDP-8D62;
5F52	归	⿰&CDP-8968;彐
5F56	彖	⿱&U-i003+5915;豕
5F65	彥	⿱文&CDP-8D5A;
5F67	彧	⿻或&CDP-89A6;
5F8C	後	⿰彳&CDP-8B7B;
5F9E	從	⿰彳&CDP-8BB0;
5FB3	徳	⿰彳&HD-TK-01032130;
6075	恵	⿱&GT-K01770;心
60E0	惠	⿱&CDP-8BD0;心
60F0	惰	⿰忄&CDP-8CA9;
611B	愛	⿱⿱&CDP-8BB8;心夂
6176	慶	⿸&CDP-8D56;&CDP-8D57;
6216	或	⿹戈&CDP-8BE2;
621E	戞	⿱&CDP-8CD4;戈
623C	戼	⿰&U-i002+200DB;戶
6265	扥	⿰扌&CDP-8AF0;
62DC	拜	⿰龵&CDP-8CE7;
62DD	拝	⿰扌&CDP-8CE7;
63B2	掲	⿰扌&MJ013489;
63FA	揺	⿰扌&GT-36228;
6416	搖	⿰扌&JX2-7461;
6442	摂	⿰扌⿱耳&CDP-89AE;
6447	摇	⿰扌&o-UU+4343;
6449	摉	⿰扌⿱⿱宀⿱&GT-K00059;𠆢夕
64E5	擥	⿱&CDP-8D50;手
6538	攸	⿰&CDP-8B7A;攵
656B	敫	⿰&CDP-8CE0;攵
657B	敻	⿱&CDP-8CAF;&CDP-88FD;
6589	斉	⿱文&CDP-89C6;
65B5	斵	⿰⿱&CDP-8C69;亞斤
65C1	旁	⿱&CDP-8BEC;方
65C5	旅	⿸𭤨&CDP-8C66;
65E2	既	⿰&CDP-8B7C;旡
6649	晉	⿱&CDP-8DAB;日
66D3	曓	⿱&GT-K09590;夲
66F9	曹	⿱&CDP-8D61;曰
66FC	曼	⿱&CDP-8CBF;又
66FE	曾	⿱丷&CDP-8B63;
6703	會	⿱亼&CDP-8B63;
67AD	枭	⿹&CDP-8964;木
67BE	枾	⿰木&CDP-89E4;
6806	栆	⿱&CDP-89AD;冫
6881	梁	⿱&CDP-8DBC;木
689F	梟	⿱&CDP-8CBB;木
68C4	棄	⿱𠫓&CDP-8DA8;
6955	楕	⿰木&CDP-8CA9;
697D	楽	⿶⿱&CDP-89AE;木白
6A46	橆	⿱&CDP-8BBE;林
6B3E	款	⿰&CDP-8C6A;欠
6B66	武	⿹&CDP-8CB8;止
6B72	歲	⿱止&CDP-8CB3;
6B78	歸	⿰&CDP-8CAB;帚
6B7F	歿	⿰歹&CDP-8BA1;
6BB5	段	⿰&CDP-8CE4;殳
6BBC	殼	⿰&CDP-8DA1;殳
6BE4	毤	⿺⿱&GT-K00059;允毛
6BFB	毻	⿰&CDP-8CA9;毛
6C18	氘	⿸气&CDP-89AB;
6C92	沒	⿰氵&CDP-8BA1;
6DEB	淫	⿰氵&CDP-8AC0;
6E07	渇	⿰氵&MJ013489;
6E0B	渋	⿰氵⿱止&CDP-89AE;
6E7C	湼	⿰氵&CDP-8DB4;
6E80	満	⿰氵&A-U-i002+34BC;
6F48	潈	⿰氵⿱血&GT-K02140;
6F78	潸	⿰氵⿱林&CDP-8958;
7099	炙	⿱&CDP-88F0;火
70C9	烉	⿱&CDP-8CAF;火
70CF	烏	⿹&CDP-89DF;灬
7109	焉	⿱正&CDP-8DBF;
7114	焔	⿰火&GT-K03616;
7121	無	⿱&CDP-8BBE;灬
7136	然	⿱&CDP-8BB5;灬
71D5	燕	⿱⿱廿&CDP-8D76;灬
7202	爂	⿱⿶&CDP-8B64;同火
7228	爨	⿱⿶&CDP-8B64;同𤍾
